metric,period,period_iso,value
EnterprisesValueRevenueRatio,01/31/2022,2022-01-31,38.359
EnterprisesValueRevenueRatio,10/31/2021,2021-10-31,80.313
EnterprisesValueEBITDARatio,ttm,,-32.541
EnterprisesValueEBITDARatio,10/31/2025,2025-10-31,
EnterprisesValueEBITDARatio,07/31/2025,2025-07-31,
EnterprisesValueEBITDARatio,04/30/2025,2025-04-30,
EnterprisesValueEBITDARatio,01/31/2025,2025-01-31,
EnterprisesValueEBITDARatio,10/31/2024,2024-10-31,
EnterprisesValueEBITDARatio,07/31/2024,2024-07-31,
EnterprisesValueEBITDARatio,04/30/2024,2024-04-30,
EnterprisesValueEBITDARatio,01/31/2024,2024-01-31,-306.54
EnterprisesValueEBITDARatio,10/31/2023,2023-10-31,-148.953
EnterprisesValueEBITDARatio,07/31/2023,2023-07-31,-128.578
EnterprisesValueEBITDARatio,04/30/2023,2023-04-30,-65.316
EnterprisesValueEBITDARatio,01/31/2023,2023-01-31,-146.492
EnterprisesValueEBITDARatio,10/31/2022,2022-10-31,-113.995
EnterprisesValueEBITDARatio,07/31/2022,2022-07-31,-117.901
EnterprisesValueEBITDARatio,04/30/2022,2022-04-30,-147.13
EnterprisesValueEBITDARatio,01/31/2022,2022-01-31,-214.08
EnterprisesValueEBITDARatio,10/31/2021,2021-10-31,-485.844
